mz,rt,t.score,p.value,mode
154.96547,17.272,0.22,0.999999999028731,negative
87.00847,1.196,0.15,0.999999999263154,negative
146.0457,28.873,7.97,0.999999999264522,negative
195.92668,14.474,0.27,0.999999999284871,negative
153.0192,1.129,0.35,0.999999999290611,negative
195.92673,14.392,0.27,0.999999999306752,negative
249.14947,25.539,-0.62,0.999999999339777,negative
205.07166,13.121,0.13,0.999999999346706,negative
228.16046,26.412,1.19,0.999999999478057,negative
337.97905,12.565,0.25,0.999999999520632,negative
149.04534,13.616,0.17,0.999999999585712,negative
92.32786,4.288,-0.91,0.999999999615293,negative
60.9934,1.135,-0.62,0.999999999650135,negative
200.96527,14.896,-0.15,0.999999999665352,negative
96.95971,14.376,0.34,0.999999999702497,negative
181.01419,1.222,-0.23,0.999999999739423,negative
232.88321,14.532,-0.2,0.99999999977028,negative
118.94177,14.533,-0.14,0.999999999775091,negative
211.10886,23.758,0.26,0.999999999780972,negative
151.00669,13.519,-0.14,0.999999999790541,negative
158.99344,21.782,0.29,0.999999999797048,negative
253.21738,28.617,0.8,0.999999999809093,negative
98.96652,12.63,0.12,0.999999999811149,negative
229.14436,17.73,0.4,0.999999999818892,negative
198.05944,22.832,0.32,0.99999999982423,negative
183.10258,11.594,0.12,0.999999999832358,negative
111.01972,1.016,0.44,0.999999999838349,negative
260.32753,23.96,-0.78,0.999999999845178,negative
154.99608,13.631,0.13,0.999999999861901,negative
157.12337,28.603,3.09,0.999999999863628,negative
128.01001,13.996,-0.1,0.999999999878701,negative
302.98044,6.111,-0.6,0.99999999988354,negative
157.0106,16.041,-0.17,0.999999999884352,negative
202.98205,24.706,0.41,0.99999999988708,negative
181.66197,27.124,-0.74,0.999999999899483,negative
125.02418,1.222,0.34,0.999999999903884,negative
191.99356,28.116,2.63,0.999999999903936,negative
271.22778,1.814,0.73,0.999999999909154,negative
296.99832,27.961,0.66,0.999999999909846,negative
151.0399,1.231,-0.55,0.999999999912741,negative
191.99408,7.105,-0.74,0.999999999941888,negative
146.04564,28.941,8.53,0.999999999943368,negative
113.02414,1.173,0.12,0.999999999945666,negative
166.0226,16.867,0.13,0.999999999955902,negative
163.04006,18.201,0.34,0.999999999956843,negative
271.22769,1.307,0.2,0.999999999958991,negative
196.92316,14.444,0.23,0.999999999961464,negative
110.96973,14.892,-0.09,0.999999999968689,negative
233.00649,1.555,-0.29,0.999999999970602,negative
188.99663,22.359,-0.34,0.999999999971447,negative
181.96594,9.341,-1.11,0.999999999972558,negative
115.07617,1.168,0.03,0.99999999997313,negative
88.98778,28.559,-0.12,0.999999999974861,negative
256.23623,1.261,-0.09,0.999999999977668,negative
115.07613,14.762,-0.28,0.999999999980294,negative
144.06642,1.231,0.28,0.999999999981459,negative
89.02536,28.109,0.49,0.999999999983762,negative
134.97291,13.533,0.15,0.999999999983783,negative
232.88325,14.293,-0.19,0.999999999985269,negative
110.9697,15.289,-0.1,0.999999999990283,negative
132.03001,1.219,-0.55,0.999999999990605,negative
215.03263,4.478,0.32,0.999999999991221,negative
188.98624,22.384,-0.21,0.999999999991298,negative
236.10531,20.362,0.19,0.999999999992184,negative
194.06187,12.68,-0.51,0.999999999993408,negative
183.10251,1.227,-0.29,0.999999999994053,negative
167.03491,19.481,0.12,0.999999999994473,negative
125.02417,0.963,-0.28,0.999999999994515,negative
140.91925,21.338,0.2,0.999999999994727,negative
152.00217,13.364,0.74,0.999999999995058,negative
238.90075,15.328,-0.32,0.999999999995489,negative
152.98619,16.117,-0.18,0.999999999995607,negative
229.14436,18.291,-0.22,0.999999999996125,negative
306.07649,25.91,0.1,0.999999999996173,negative
144.04533,4.656,0.1,0.999999999996448,negative
158.93447,1.047,0.14,0.999999999997019,negative
175.09749,2.203,-0.51,0.99999999999705,negative
71.01353,16.49,0,1,negative
103.0033,13.991,-0.05,1,negative
167.01593,15.494,-0.08,1,negative
190.99132,18.19,0.23,1,negative
190.99133,18.781,-0.33,1,negative
175.09747,11.349,0,1,negative
199.00697,15.963,-0.13,1,negative
200.98621,14.591,-0.1,1,negative
78.91856,14.759,0.49,1,negative
277.1807,25.999,0.03,1,negative
