mz,rt,t.score,p.value,mode
147.02975,16.769,-0.32,0.999990872910501,negative
158.89299,1.154,-2.79,0.99999115895662,negative
146.92598,20.493,0.44,0.999993099504373,negative
162.04209,25.444,1.02,0.999993768837221,negative
123.90185,18.757,-0.73,0.999993892527703,negative
140.01165,13.639,1.37,0.99999396826327,negative
173.04546,11.547,0.22,0.999994864477843,negative
248.97315,1.339,-0.5,0.999995817576907,negative
189.04039,16.309,0.7,0.999996318903964,negative
147.06621,11.358,0.32,0.999996643080733,negative
311.29599,1.258,0.73,0.999996896603906,negative
173.43442,19.567,-1.07,0.999997062518717,negative
236.10531,20.362,0.27,0.999997190821075,negative
103.0033,13.991,0.26,0.999997250227149,negative
243.12392,1.32,-0.6,0.999997317521942,negative
101.06048,11.317,0.38,0.999997319048138,negative
115.07617,1.168,0.05,0.99999739284766,negative
295.99125,16.379,-0.95,0.999997559219666,negative
193.03522,13.511,0.78,0.999997690562294,negative
213.0556,1.236,-0.22,0.9999977900045,negative
291.97666,5.367,2.41,0.99999781963516,negative
210.99172,21.92,1.24,0.999997894907541,negative
173.08184,14.649,0.6,0.999997941993031,negative
277.18076,13.444,-0.34,0.999997948100862,negative
255.23277,15.225,-0.27,0.999998015716393,negative
196.02839,13.509,-0.52,0.999998214325518,negative
185.08186,13.767,0.31,0.999998403409931,negative
281.2485,10.531,-0.13,0.999998511664848,negative
165.04036,13.4,0.45,0.99999852615231,negative
68.01391,28.353,0.78,0.999998530743684,negative
131.07121,11.364,0.21,0.999998572794173,negative
97.02919,1.274,-0.22,0.999998722830169,negative
126.01942,22.92,-0.28,0.999998833097723,negative
229.05048,1.221,-0.46,0.999998838618056,negative
59.01359,28.921,-1.68,0.999999044467863,negative
195.92668,14.474,-0.59,0.999999070188674,negative
194.92722,14.326,-0.52,0.999999076632061,negative
101.0241,11.339,0.34,0.999999083963145,negative
195.92673,14.392,-0.59,0.999999114226972,negative
200.98621,14.591,-1.21,0.999999144519401,negative
198.05944,22.832,-0.41,0.999999184352398,negative
187.09752,16.208,0.64,0.99999922882357,negative
132.03,1.063,-0.75,0.999999282951797,negative
122.9755,1.125,0.24,0.99999929283317,negative
201.11311,15.614,-0.2,0.999999307167732,negative
181.66197,27.124,0.8,0.999999310906208,negative
146.92606,20.842,0.65,0.999999315082203,negative
179.03494,16.828,-0.18,0.999999367438464,negative
116.92841,1.204,-0.51,0.999999410854557,negative
